sub_id,age_months,gender,english,exclude2,prop_correct_vocab,end_time,resp_start_time,stage_type,start_time,event,version,correct,help,object1,category,Object 1,time_start,type,trial_type
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:20:58Z,0000-11-09T15:20:58Z,Pair (New),0000-11-09T15:20:56Z,Session,16,0,None,okra,NA,NA,NA,NA,NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:21:08Z,0000-11-09T15:21:08Z,Pair (New),0000-11-09T15:21:06Z,Session,16,1,None,pipette,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:21:33Z,0000-11-09T15:21:33Z,Pair (Repeated),0000-11-09T15:21:31Z,Session,16,0,None,kumquat,NA,NA,NA,NA,C-NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:21:49Z,0000-11-09T15:21:48Z,Pair (New),0000-11-09T15:21:47Z,Session,16,1,None,longan,NA,NA,NA,NA,NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:22:01Z,0000-11-09T15:22:01Z,Pair (Repeated),0000-11-09T15:21:59Z,Session,16,1,None,cookie,NA,NA,NA,NA,C-NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:22:33Z,0000-11-09T15:22:32Z,Pair (New),0000-11-09T15:22:30Z,Session,16,1,None,leek,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:22:43Z,0000-11-09T15:22:41Z,Pair (Repeated),0000-11-09T15:22:40Z,Session,16,0,None,cam,NA,NA,NA,NA,C-NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:22:53Z,0000-11-09T15:22:52Z,Pair (Repeated),0000-11-09T15:22:50Z,Session,16,1,None,guitar,NA,NA,NA,NA,C-NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:23:13Z,0000-11-09T15:23:12Z,Pair (Repeated),0000-11-09T15:23:10Z,Session,16,1,None,disk,NA,NA,NA,NA,C-NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:23:24Z,0000-11-09T15:23:22Z,Pair (New),0000-11-09T15:23:20Z,Session,16,1,None,dulcimer,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:23:35Z,0000-11-09T15:23:33Z,Pair (New),0000-11-09T15:23:31Z,Session,16,1,None,sieve,NA,NA,NA,NA,NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:18:21Z,0000-11-09T15:18:13Z,Pair (New),0000-11-09T15:18:12Z,Session,16,1,None,bottle,NA,NA,NA,NA,FF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:18:54Z,0000-11-09T15:18:53Z,Pair (New),0000-11-09T15:18:51Z,Session,16,1,None,banana,NA,NA,NA,NA,FF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:19:08Z,0000-11-09T15:19:04Z,Pair (New),0000-11-09T15:19:03Z,Session,16,0,None,cup,NA,NA,NA,NA,FF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:19:17Z,0000-11-09T15:19:16Z,Pair (New),0000-11-09T15:19:15Z,Session,16,1,None,helm,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:19:48Z,0000-11-09T15:19:46Z,Pair (Repeated),0000-11-09T15:19:44Z,Session,16,0,None,flower,NA,NA,NA,NA,C-NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:20:00Z,0000-11-09T15:19:58Z,Pair (Repeated),0000-11-09T15:19:57Z,Session,16,0,None,bung,NA,NA,NA,NA,C-NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:20:15Z,0000-11-09T15:20:11Z,Pair (New),0000-11-09T15:20:10Z,Session,16,1,None,kettle,NA,NA,NA,NA,NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:20:46Z,0000-11-09T15:20:46Z,Pair (Repeated),0000-11-09T15:20:44Z,Session,16,0,None,pretzel,NA,NA,NA,NA,C-NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:20:58Z,0000-11-09T15:20:58Z,Pair (New),0000-11-09T15:20:56Z,Session,16,0,None,okra,NA,NA,NA,NA,NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:21:08Z,0000-11-09T15:21:08Z,Pair (New),0000-11-09T15:21:06Z,Session,16,1,None,pipette,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:21:33Z,0000-11-09T15:21:33Z,Pair (Repeated),0000-11-09T15:21:31Z,Session,16,0,None,kumquat,NA,NA,NA,NA,C-NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:21:49Z,0000-11-09T15:21:48Z,Pair (New),0000-11-09T15:21:47Z,Session,16,1,None,longan,NA,NA,NA,NA,NN
